id,name_clean,duration_minutes,artists,artist_list,primary_artist,artist_count
5yFoKbVuVoA19NjP1j7qBu,"String Quartet No. 12, Op. 127: II. Adagio, ma non troppo e molto cantabile",11,"Ludwig van Beethoven, The Beethoven Quartet","['Ludwig van Beethoven', 'The Beethoven Quartet']",Ludwig van Beethoven,2
2AgriLe23vg8NV40qLKDif,موال ناس تجرى ورا المال,11,مكرم المنياوي,['مكرم المنياوي'],مكرم المنياوي,1
6doPx9QArdfAZj92U48nAe,Alone Again,11,Bvdub,['Bvdub'],Bvdub,1
0UtwGOSlMenvrKD3zrfstB,靈山清境僧,11,妙蓮華,['妙蓮華'],妙蓮華,1
1WQ2cb21bem9zYChpaesBM,Children of the Sounds,11,Kaipa,['Kaipa'],Kaipa,1
65MDXHYuMqboPfcoxgDz3m,Living on the Ceiling - Tuesday Morning Door Policy Version,11,Skinnerbox,['Skinnerbox'],Skinnerbox,1
71eTQdcUvHiAReUQ6Rsl3M,Cosmic Sensations,11,Sweet Carol,['Sweet Carol'],Sweet Carol,1
3mnMDiz81wtKoFbPisgmca,Mokili e change - Live,11,"Zaïko Langa Langa, Nkolo Mboka","['Zaïko Langa Langa', 'Nkolo Mboka']",Zaïko Langa Langa,2
2UVpWB2qeYKfHkCA9VhdOL,"Mozart: Quintet for Piano and Winds in E-Flat Major, K. 452: I. Largo - Allegro moderato",10,"Wolfgang Amadeus Mozart, Les Vents Français","['Wolfgang Amadeus Mozart', 'Les Vents Français']",Wolfgang Amadeus Mozart,2
2UVZtm5kUGxK5bJaxd7fpX,Shavasana,10,"Howard Givens, Craig Padilla","['Howard Givens', 'Craig Padilla']",Howard Givens,2
4KJu1hYFLyxzbYm1vwqF6G,Tiamat,10,Musarra,['Musarra'],Musarra,1
2ojN2LMlmaYjouKXmWT3zE,In This Moment,10,"Dayspring Worship, Joel Wiseman","['Dayspring Worship', 'Joel Wiseman']",Dayspring Worship,2
7lI7BksTQwiLX7y9Y94DaT,Can't Go Home - Live at Paradiso,10,King of the World,['King of the World'],King of the World,1
0pPN0Lx1hKBAULV84OnhB1,Third Eye,10,Macroform,['Macroform'],Macroform,1
3qF9WiYP6EyHbWoAmoKpQS,"Polonaise in F-Sharp Minor, Op. 44",10,"Frédéric Chopin, Folke Nauta","['Frédéric Chopin', 'Folke Nauta']",Frédéric Chopin,2
1ddJ3rTJquZSkrQyAUQNik,Hia li gabratni - Live,10,Cheb Hichem,['Cheb Hichem'],Cheb Hichem,1
5DlU9BjHN5xWHUEEzvO1dW,Shirt of Noise,9,"Lee Weisert, Clara Yang, Juan Alamo","['Lee Weisert', 'Clara Yang', 'Juan Alamo']",Lee Weisert,3
4fW7lh5F5jJsiQ1bShWrzi,Space and Silence,9,"Loom, Dopadocks","['Loom', 'Dopadocks']",Loom,2
4VkQ3tr2sCBkaIIkT2DOXT,Suffocating Hopes,9,Mourners Lament,['Mourners Lament'],Mourners Lament,1
25jQFzEpFaOxzQPqEBlB30,The Water Is Troubled - Medley,9,George Banton,['George Banton'],George Banton,1
3Pz4sWKMmNEfIGbkCdbaeO,"Pesther Kinder - Walzer, Op.42",9,"Carl Michael Ziehrer, Original C.M.Ziehrer Orchester, Hans Schadenbauer","['Carl Michael Ziehrer', 'Original C.M.Ziehrer Orchester', 'Hans Schadenbauer']",Carl Michael Ziehrer,3
6GJBiVE29cVKnYIO1xFZzC,The Diving Bell,9,Black Foxxes,['Black Foxxes'],Black Foxxes,1
0ZNz2b9tcLIqAp4U8luv6Y,Broken Corners,9,1 Mile North,['1 Mile North'],1 Mile North,1
2UNzMQV3pnFHOBIkLy3Lck,Anamnisi - Hot TuneiK Remix,9,"Jorgio Kioris, Simos Tagias, Hot Tuneik","['Jorgio Kioris', 'Simos Tagias', 'Hot Tuneik']",Jorgio Kioris,3
731OdH0hiFrSx5DJBVRaFS,"Pampeana No. 1, Op. 16",9,"Alberto Ginastera, Donald Sulzen, Henry Raudales","['Alberto Ginastera', 'Donald Sulzen', 'Henry Raudales']",Alberto Ginastera,3
5mhT9FupmaYktfc70v2rl7,Feet First,9,Z-Arc,['Z-Arc'],Z-Arc,1
27oWBjpSdNlvL9T44EtE50,Deep In The Night,9,New Members,['New Members'],New Members,1
4IFpA7qxzZlASw2RDgWpX8,Hispania - Spanish Fantasy for Symphony Orchestra [Live],9,"Oscar Navarro Gonzalez, Oscar Navarro, Oscar Navarro Symphony Orchestra","['Oscar Navarro Gonzalez', 'Oscar Navarro', 'Oscar Navarro Symphony Orchestra']",Oscar Navarro Gonzalez,3
6y3wS0FvyBI0kL3MTT4sJT,"Violin Concerto No. 3 in G Major, K. 216: I. Allegro",9,"Wolfgang Amadeus Mozart, Eduardo Marturet, Emmy Verhey, Royal Concertgebouw Orchestra","['Wolfgang Amadeus Mozart', 'Eduardo Marturet', 'Emmy Verhey', 'Royal Concertgebouw Orchestra']",Wolfgang Amadeus Mozart,4
4aoVGSTaXC70ld38dEJ1L4,Timeless - Orchestral Trance Intro Mix,9,Kelly Andrew,['Kelly Andrew'],Kelly Andrew,1
0wn8T4fxqEPwZDbxQI67v2,Stars,9,Barry Jamieson,['Barry Jamieson'],Barry Jamieson,1
0ZCVUCrng6jswYGY9smSlr,"Sonata for Violin and Piano No. 5 in F, Op. 24 - ""Spring"": 1. Allegro",9,"Ludwig van Beethoven, Ji Hae Park, Simon Lepper","['Ludwig van Beethoven', 'Ji Hae Park', 'Simon Lepper']",Ludwig van Beethoven,3
0UxlQIoG9CJRXlJkUeKydH,MnWa3at 11,9,"Arabic Djs, Arabic DJ","['Arabic Djs', 'Arabic DJ']",Arabic Djs,2
5SQYozFvOZsmcLFG7MS9Il,〜引き寄せの音楽〜 波動を上げ全ての“良きもの”を引き寄せる音楽 / α波 / ヨガ / 瞑想 / 集中力,9,Relaxing888,['Relaxing888'],Relaxing888,1
4WVwrKyzCL5AjBtpKAZEOZ,Limbs,9,Endless Ocean,['Endless Ocean'],Endless Ocean,1
4aOpBWbs3XUMuWgMbsM31d,Sich rundherum wohlfühlen,9,Nora del Mar,['Nora del Mar'],Nora del Mar,1
0hCVS9jZrgEXdAt47EQDqa,Tu Agar Benaqab Ho Jaye,8,Nusrat Fateh Ali Khan,['Nusrat Fateh Ali Khan'],Nusrat Fateh Ali Khan,1
2SyfyabWQz7arAiHoJSZYU,Noche,8,"Jacky Mingo, Kapote","['Jacky Mingo', 'Kapote']",Jacky Mingo,2
6kKrTjTIuBuzlI0jXg7bY1,Meditation »Zeichen eines Verstorbenen«,8,Pascal Voggenhuber,['Pascal Voggenhuber'],Pascal Voggenhuber,1
1COyK5IMdf2fdy7HCsc5a1,Faddah,8,Hossam Ramzy,['Hossam Ramzy'],Hossam Ramzy,1
1SABG47KTubx9SahfMrZRA,Halo On Fire,8,Metallica,['Metallica'],Metallica,1
33K1hgLpTBAN0OdcwwVIjG,Wabi Sabi,8,Pspiralife,['Pspiralife'],Pspiralife,1
1AhSl55K5EQbTbFXr35gQZ,Igraj Mare Prašina Se Diže / Trusa,8,Mate Bulic,['Mate Bulic'],Mate Bulic,1
6CRRlM7Phug9Gj3S4Rk8Xr,To the Throats,8,Antlers,['Antlers'],Antlers,1
4ZILOfRVBFNMcRxXqPNS1t,Il chitarrista,8,Ivan Graziani,['Ivan Graziani'],Ivan Graziani,1
5RjbOEO1W9FymAzvB9G9vg,These Ties Are Binding - Original Mix,8,"Andres Sanchez, Katherine Amy","['Andres Sanchez', 'Katherine Amy']",Andres Sanchez,2
1LvNuDHeQ0ibGiEzwRdq1L,Unique,8,Simon Le Grec,['Simon Le Grec'],Simon Le Grec,1
2MpXY4OOal7LnKkI9mfpof,Last Knockers - Original Mix,8,Crazy P,['Crazy P'],Crazy P,1
6wrGrOBWeiPxPhkJoBV95v,"Symphony No. 9 in E Minor, Op. 95, B. 178, ""From the New World"": II. Largo",8,"Antonín Dvořák, Northern String Quartet","['Antonín Dvořák', 'Northern String Quartet']",Antonín Dvořák,2
1VLnC046WJSTGiikbuUcIR,El Nazareno,8,Miguel Zenón,['Miguel Zenón'],Miguel Zenón,1
3DTqJhZgZxhzVF4SLvdwPB,Srila Prabhupada Pranati and Maha Mantra (Live),8,Harinama Ruci,['Harinama Ruci'],Harinama Ruci,1
17cChhy58DYKXd6WbNk7xb,Sajana - Beloved,8,Susheela Raman,['Susheela Raman'],Susheela Raman,1
1CiJ8vEnuoKDxNvvaCGJiN,صدامية للموت,8,Gazal Alabedallah,['Gazal Alabedallah'],Gazal Alabedallah,1
7oQAi0ZX649fLxSpvSSyYO,Amigo,8,The Mansisters,['The Mansisters'],The Mansisters,1
4r6R29US2FnvbQzeAdX52U,Baion - Original Club Mix,8,Federico Scavo,['Federico Scavo'],Federico Scavo,1
422fCC4DLocxxv3XInJx1z,Neukliana - Kay-D Remix,8,"Ricardo Piedra, Kay-D","['Ricardo Piedra', 'Kay-D']",Ricardo Piedra,2
3vYKjyy15FutB3FggySyK3,It Turns For You - The Noble Six Remix,8,"Neptune Project, Polly Strange, The Noble Six","['Neptune Project', 'Polly Strange', 'The Noble Six']",Neptune Project,3
6FOhLZtbYhbaHeL6oM8CEi,"Symphony No. 9 in E Minor, Op. 95, B. 178 ""From the New World"": III. Scherzo. Molto vivace",8,"Antonín Dvořák, Budapest Philharmonic Orchestra, Stephen Pomerantz","['Antonín Dvořák', 'Budapest Philharmonic Orchestra', 'Stephen Pomerantz']",Antonín Dvořák,3
3b2aul5zbmRoaT3GaN4VN0,"Symphony No. 6 in B Minor, Op. 74, TH 30 ""Pathétique"": II. Allegro con grazia",8,"Pyotr Ilyich Tchaikovsky, Philharmonia Orchestra, Sir Charles Mackerras","['Pyotr Ilyich Tchaikovsky', 'Philharmonia Orchestra', 'Sir Charles Mackerras']",Pyotr Ilyich Tchaikovsky,3
